,,,,,,,,,,,,
,,,, ,Glossary,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
, ,Ref,,,Performances,Lex 6,Lex 5,Lex 4,Lex 3,Lex 2,Lex 1,
,,Deu 9:6,,,קְשֵׁה־עֹ֖רֶף,,,,,עֹרֶף,קָשֶה ,210
,,Deu 9:7,,,מארץ מצרים,,,,,מִצְרַיִם,אֶרֶץ,211
,,Deu 9:9,,,לוחת האבנים,,,,,אֶבֶן,לוּחַ ,212
,,Deu 9:9,,,לוחת הברית,,,,,בְּרִית,לוּחַ ,213
,,Deu 9:10,,,לוחת האבנים,,,,,אֶבֶן,לוּחַ,214
,,Deu 9:10,,,באצבע אלהים,,,,,אֱלֹהִים,אֶצְבַּע ,215
,,Deu 9:10,,,ביום הקהל,,,,,הַקְהֵל,יוֹם ,216
,,Deu 9:11,,,מקץ ארבעים יום,,,,יום,אַרְבָּעִים,קֵץ,217
,,Deu 9:11,,,לוחת האבנים ,,,,,אֶבֶן,לוּחַ ,218
,,Deu 9:11,,,לוחת הברית,,,,,בְּרִית,לוּחַ ,219
,,Deu 9:13,,,קְשֵׁה־עֹ֖רֶף,,,,,עֹרֶף,קָשֶה ,220
,,Deu 9:15,,,לוחת הברית,,,,,בְּרִית,לוּחַ ,221
,,Deu 9:16,,,עגל מסכה,,,,,מַסֵּכָה,עֵגֶל,222
,,Deu 9:18,,,בעיני יהוה ,,,,,יְהֹוָה ,עַיִן,223
, ,Deu 9:22,,,וּבְקִבְרֹ֖ת הַֽתַּאֲוָ֑ה,,,,, ,קִבְרֹ֖ת הַֽתַּאֲוָ֑ה,224
,,Deu 9:23,,,פי יהוה אלהיכם,,,,,יְהֹוָה,פֶּה,225
,,Deu 9:27,,,קשי העם,,,,,עַם,קָשֶה ,226
,,Deu 10:1 ,,,שני לוחת אבנים,,,,,אֶבֶן,לוּחַ ,227
,,Deu 10:1,,,ארון עץ,,,,,עֵץ,אֲרוֹן,228
,,Deu 10:3,,,ארון עצי שטים,,,,שִטָּה,עֵץ,אֲרוֹן,229
,,Deu 10:3,,,שני לוחת אבנים,,,,,אֶבֶן,לוּחַ ,230
,,Deu 10:4,,,ביום הקהל,,,,,הַקְהֵל,יוֹם ,231
,,Deu 10:6,,,ובני ישראל,,,,,יִשְרָאֵל,בֵּן,232
