edge_name,weight
שאֹר (-) רַה,2
שאֹר (-) םֶדֶק,1
דֶגֶמ (-) הָעְבִּג,1
דֶגֶמ (-) םָלֹוע,1
דֶגֶמ (-) ץֶרֶא,1
ןֹוצָר (-) ןֵכֹש,1
ןֹוצָר (-) הֶנְס,1
שאֹר (-) ףֵסֹוי,1
דֹקְדֹק (-) ריִזָנ,1
דֹקְדֹק (-) חָא,1
ןֶרֶק (-) םֵאְר,2
סֶפֶא (-) ץֶרֶא,7
חַבֶז (-) קֶדֶצ,3
עַפֶש (-) םֹוי,1
ןּופָש (-) ןּומָט,1
ןּופָש (-) לֹוח,1
ביִחְרַמ (-) דָּג,1
הָקְלֶח (-) קֵקֹחְמ,1
הָקָדְצ (-) הָוֹהְי,1
רּוג (-) הֵיְרַא,1
ַעֵבָש (-) ןֹוצָר,1
יּוצָר (-) חָא,1
םיִהֹלֱא (-) םֶדֶק,1
ַעֹורְז (-) םָלֹוע,1
ןִיַע (-) בֹקֲעַי,1
ץֶרֶא (-) ןָגָּד,1
ץֶרֶא (-) שֹוריִּת,1
ןֵגָמ (-) רֶזֵע,1
בֶרֶח (-) הָוֲאַּג,1
הָבָרֲע (-) בָאֹומ,2
ץֶרֶא (-) םִיַרְפֶא,1
ץֶרֶא (-) הָדּוהְי,1
הָעְקִּב (-) ֹוחיִרְי,1
ריִע (-) רָמָּת,1
דֶבֶע (-) הָוֹהְי,6
ץֶרֶא (-) בָאומ,1
םֹוי (-) יִכְּב,1
םֹוי (-) לֶבֵא,1
םֹוי (-) הֶשֹמ,1
ַחּור (-) הָמְכָח,1
לָשָמ (-) הֹמֹלְש,3
ןֵּב (-) דִוָּד,1
ְךֶלֶמ (-) לֵאָרְשִי,1
רֶמֵא (-) הָניִּב,1
רָסּומ (-) לֵּכְשַה,1
רָבָּד (-) םָכָח,2
הָאְרִי (-) הָוֹהְי,18
תיִשאֵר (-) תַעַּד,1
רָסּומ (-) בָא,4
הָרֹוּת (-) םֵא,2
הָיְוִל (-) ןֵח,2
לֹואְש (-) םיִּיַח,1
דֵרֹי (-) רֹוּב,5
ןִיַע (-) לַעַּב,1
ןִיַע (-) ףָנָּכ,1
חַרֹא (-) ַעֵצֹּב,1
שֶפֶנ (-) לָעָּב,1
חַתֶּפ (-) רַעַש,1
יִרְּפ (-) ְךֶרֶּד,1
הָבּושְמ (-) יִתֶּפ,1
הָוְלַש (-) ליִסְּכ,1
דַחַּפ (-) הָעָר,1
תַעַּד (-) םיִהֹלֱא,1
ְךֵלֹה (-) םֹּת,1
חַרֹא (-) טָּפְשִמ,2
ְךֶרֶּד (-) דיִסָח,1
לָגֲעַמ (-) בֹוט,1
חַרֹא (-) רֶשֹי,1
ְךֶרֶּד (-) ְךֵשֹח,1
הָכּופְהַּת (-) עַר,1
ףּוּלַא (-) םיִרּועְנ,1
תיִרְּב (-) םיִהֹלֱא,2
חַרֹא (-) םיִּיַח,2
ְךֶרֶּד (-) בֹוט,2
חַרֹא (-) קיִּדַצ,2
הָנָש (-) םיִּיַח,1
ַחּול (-) בֵל,2
ןִיַע (-) םיִהֹלֱא,1
ןִיַע (-) םָדָא,2
תיִשאֵר (-) הָאּובְּת,1
רָחְסִמ (-) ףֶסֶּכ,1
ְךֶרֶּד (-) םַעֹנ,1
ץֵע (-) םיִּיַח,2
הָאֹוש (-) עָשָר,1
